message_id,title,title_ar,content,content_ar,summary,summary_ar,author,type,organization,subsidiary,department,categories,subcategories,hashtags,status,published_at,slug,meta_description,meta_keywords,media_url
6380,,,,#التعميم رقم /59/: كتاب منظمة العمل الدولية المتضمن طلب إكمال الاستبيان العالمي بالرابط المرفق (باللغة العربية) حيث أن هذا الاستبيان يكون كاستطلاع لرؤية محدثة حول التحديات والفرص المتاحة في مجال تعزيز المساواة بين الجنسين ومتابعة لمدى زيادة تمثيل المرأة في المناصب القيادية للشركات الصغيرة والمتوسطة في الاقتصادات الناشئة .  رابط  الاستبيان باللغة العربية مع ملاحظة إمكانية تنفيذه بالأجهزة المحمولة وان فترة الاستبيان من 23/6/2025 حتى 25/7/2025. https://surveys.lifepointspanel.com/survey/bor/v3/EMEA/392110867external?s=4&l=arabic,,,Qarar Platform,Circular,MOI,,,Social Affairs,General,"[""#التعميم""]",published,2025-08-06 10:41:28,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006380_photo.jpg
6379,,,,"تعميم ٥٧ نود اعلامكم بكتاب شركة ارمادا للمعارض والمؤتمرات المتضمن دعوة لحضور الدورة الخامسة لمعرض: ""المعرض الدولي للصناعات التجميلية (عالم الجمال) عالم الجمال سورية"" #سوريا",,,Qarar Platform,Circular,MOI,,,Industry,General,"[""#سوريا""]",published,2025-08-06 10:41:05,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006379_photo.jpg
6378,,,,تعلن المؤسسة العامة للصناعات الغذائية عن إجراء مناقصة داخلية بالظرف المختوم لتوريد المواد الآتية لزوم وحدات تعبئة المياه.  #الجمهورية_العربية_السورية  #الإدارة_العامة_للصناعة,,,Qarar Platform,Announcement,MOIN,,,Industry,General,"[""#الجمهورية_العربية_السورية"", ""#الإدارة_العامة_للصناعة""]",published,2025-08-06 10:40:36,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006378_photo.jpg
6377,,,,تعلن المؤسسة العامة للصناعات الغذائية عن إجراء مناقصة داخلية بالظرف المختوم لتوريد المواد الآتية لزوم وحدات تعبئة المياه.  #الجمهورية_العربية_السورية  #الإدارة_العامة_للصناعة,,,Qarar Platform,Announcement,MOIN,,,Industry,General,"[""#الجمهورية_العربية_السورية"", ""#الإدارة_العامة_للصناعة""]",published,2025-08-06 10:40:36,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006377_photo.jpg
6376,,,,"تصريح حاكم مصرف سورية المركزي الدكتور ""عبد القادر الحصرية"" حول توقيع الرئيس الأمريكي أمراً تنفيذياً يقضي بإنهاء العقوبات المفروضة على سورية. #الجمهورية_العربية_السورية  #مصرف_سورية_المركزي",,,Qarar Platform,Statement,MOF,,,Economy,Banks and Financial,"[""#الجمهورية_العربية_السورية"", ""#مصرف_سورية_المركزي""]",published,2025-08-06 10:40:07,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006376_photo.jpg
6375,,,,النشرة الرسمية: التاريخ 02 - 07 - 2025 #الجمهورية_العربية_السورية  #مصرف_سورية_المركزي,,,Qarar Platform,General,MOF,,,Economy,Banks and Financial,"[""#الجمهورية_العربية_السورية"", ""#مصرف_سورية_المركزي""]",published,2025-08-06 10:39:46,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006375_photo.jpg
6374,,,,بيان حول المرسوم رقم (121) لعام 2025. #الجمهورية_العربية_السورية #وزارة_العدل,,,Qarar Platform,Statement,MOJ,,,Justice,Legislation and Laws,"[""#الجمهورية_العربية_السورية"", ""#وزارة_العدل""]",published,2025-08-06 10:39:01,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006374_photo.jpg
6373,,,,وزير الصحة يصدر قراراً بتكليف وائل دغمش مديراً لمديرية صحة دمشق #سوريا,,,Qarar Platform,Decision,MOH,,,Health,Healthcare,"[""#سوريا""]",published,2025-08-06 10:38:15,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006373_photo.jpg
6372,,,,"منسق الأمم المتحدة في #سوريا ""آدم عبد المولى"": - لقاء مثمر مع محافظ #حلب ناقشنا خلاله الاحتياجات الإنسانية والتنموية ذات الأولوية ليتسنى للأمم المتحدة المساعدة - حلب استقبلت نحو 23% من العائدين ويوجد 1.6 مليون نازح تقريباً ما يستلزم مضاعفة الجهود - فخورون بشراكتنا الوثيقة مع السلطات في المحافظة ونتطلع للمزيد       https://legalknowledgehouse.taplink.ws ‎<This message was edited>",,,Qarar Platform,General,MOI,,,Politics,Foreign Politics,"[""#سوريا"", ""#حلب""]",published,2025-08-06 10:37:42,,,,
6371,,,,"تصريح لمدير الاتصال الحكومي في وزارة الطاقة أحمد السليمان:  تابعت وزارة الطاقة ما تم تداوله عبر وسائل التواصل الاجتماعي من تسجيلات صوتية منسوبة لإحدى الموظفات العاملات في الوزارة والتابعة للشركة السورية للغاز بحمص ""غزل عثمان""، تتضمن إساءات وتعبيرات تمس الوحدة الوطنية وتخالف القوانين والأعراف الوظيفية.  نؤكد أن الوزارة قامت باتخاذ الإجراءات القانونية اللازمة، وإحالة الملف إلى الجهات القضائية المختصة للتحقيق فيما ورد في تلك التسجيلات.  كما تؤكد الوزارة التزامها الكامل بتطبيق معايير النزاهة والمساءلة، وعدم التهاون مع أي تجاوز من شأنه المساس بقيم المجتمع أو الإساءة إلى مؤسسات الدولة.      https://legalknowledgehouse.taplink.ws #سوريا",,,Qarar Platform,Statement,MOMR,,,Energy,Oil and Gas,"[""#سوريا""]",published,2025-08-06 10:37:42,,,,
6370,,,,الجامعة الافتراضية السورية :   إعادة افتتاح مركز نفاذ الجامعة في مدينة حماة بعد تأهيله  وبإمكان الطلاب تقديم امتحاناتهم في المركز اعتباراً من يوم غد الأربعاء        https://legalknowledgehouse.taplink.ws #سوريا,,,Qarar Platform,Announcement,MOHE,,,Education,Higher Education,"[""#سوريا""]",published,2025-08-06 10:37:42,,,,
6369,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006369_photo.jpg
6368,,,,"وزير التعليم العالي والبحث العلمي الدكتور ""مروان الحلبي"" خلال مشاركته في ملتقى اتحاد الأطباء والصيادلة السوريين في فرنسا  #الجمهورية_العربية_السورية  #وزارة_التعليم_العالي_والبحث_العلمي",,,Qarar Platform,General,MOHE,,,Education,Higher Education,"[""#الجمهورية_العربية_السورية"", ""#وزارة_التعليم_العالي_والبحث_العلمي""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006368_photo.jpg
6367,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006367_photo.jpg
6366,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006366_photo.jpg
6365,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006365_photo.jpg
6364,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006364_photo.jpg
6363,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006363_photo.jpg
6362,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006362_photo.jpg
6361,,,,دفتر الشروط الخاصة(الحقوقية والمالية والفنية) الخاصة بطباعة منهاج الثانويات الشرعية. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Document,MOAW,,,Education,Curricula,"[""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:37:22,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006361_photo.jpg
6360,,,,رفع دعوى قضائية على المنشد أحمد حبوش بسبب ماقام به يوم أمس أثناء احتفالية #لعيونك_ياحلب.,,,Qarar Platform,Statement,MOJ,,,Justice,Courts and Judiciary,"[""#لعيونك_ياحلب""]",published,2025-08-06 10:32:41,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006360_photo.jpg
6359,,,,الرئيس أحمد الشرع يصدر المرسوم رقم (121) للعام 2025 القاضي بتكليف وزارة العدل بإعادة تشكيل اللجنة القضائية المكلفة بالبت في الاعتراضات المقدمة من المتضررين من مفاعيل الأوامر والقرارات العرفية الصادرة بالاستيلاء على الأموال المنقولة وغير المنقولة في ظل نفاذ حالة الطوارئ التي أعلنت استناداً إلى أحكام المرسوم التشريعي رقم 51 للعام 1962م. #سوريا,,,Qarar Platform,Decision,MOI,,,Politics,Government Decisions,"[""#سوريا""]",published,2025-08-06 10:31:59,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006359_photo.jpg
6358,,,,قرار  وزير العدل الدكتور مظهر الويس يصدر قراراً بإعادة تشكيل اللجنة القضائية المذكورة في المادة الثانية من المرسوم التشريعي رقم (56) لعام 2011 #سوريا,,,Qarar Platform,Decision,MOJ,,,Justice,Judicial Reform,"[""#سوريا""]",published,2025-08-06 10:23:13,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006358_photo.jpg
6357,,,,#إعلان تعلن وزارة الأوقاف عن رغبتها بطباعة المنهاج الشرعي المعتمد في الثانويات الشرعية، وذلك وفق الشروط الفنية والمالية والحقوقية والمواصفات المحددة في مشروع العقد. #الجمهورية_العربية_السورية #وزارة_الأوقاف,,,Qarar Platform,Announcement,MOAW,,,Education,Curricula,"[""#إعلان"", ""#الجمهورية_العربية_السورية"", ""#وزارة_الأوقاف""]",published,2025-08-06 10:22:42,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006357_photo.jpg
6356,,,,"وزير المالية ""محمد يسر برنية"": - نشكر الرئيس الأميركي على المرسوم الرئاسي المتخذ لتحويل التجميد الحالي للعقوبات ⁩على سوريا إلى رفع دائم وإلغاء الأساس القانوني لكثير من العقوبات الصادرة عن الإدارات الأميركية الحالية والسابقة - المرسوم ألغى 5 مراسيم سابقة شكّلت الأساس القانوني لكثير من العقوبات التي صدرت على #سوريا وشمل أكثر من 5000 جهة سوريّة  - أشكر الزملاء في وزارة الخزانة الأميركية على تعاونهم معنا وتفهمهم للتحديات التي نواجهها - المرسوم ألغى أيضاً حالة الطوارئ التي فُرضت عام 2004 ويُمهد لفك الحصار الاقتصادي على تصدير الخدمات والبضائع الأميركية - المرسوم يوجّه وزارة التجارة برفع القيود التي منعت تصدير أو إعادة تصدير أيّ شيء أميركي لسوريا  - المرسوم يوجّه وزير الخارجية بمراجعة تصنيف #سوريا على أنّها دولة راعية للإرهاب ولا يشمل العقوبات على بشار الأسد وأعوانه - مبارك لسوريا فما تم اتخاذه اليوم خطوة كبيرة ومهمة ستنعكس إيجاباً على الاقتصاد السوري - عازمون على الاستفادة من كامل الفرص وعازمون على مواصلة تقوية الإدارة المالية وتعزيز النزاهة      https://legalknowledgehouse.taplink.ws",,,Qarar Platform,Statement,MOF,,,Economy,Budget and Public Finance,"[""#سوريا""]",published,2025-08-06 10:22:20,,,,
6355,,,,‏مجلس القضاء الأعلى يكلّف القاضي إبراهيم خليل الحسون عميداً للمعهد العالي للقضاء وحسب الأنباء المتداولة فهو من مواليد الرقة ١٩٨٢ حاصل على بكالوريوس في الدراسات الإسلامية من الجامعة الإسلامية في المدينة المنورة وماجستير في الفقه والقانون من كلية الدعوة الجامعية وماجستير في القضاء والسياسة الشرعية من جامعة المدينة العالمية في ماليزيا ودكتوراة في العلوم الاجتماعية من جامعة سليمان ديميريل في تركيا. ‏وقد عمل قاضيا في الهيئة القضائية في تل أبيض عاني ٢٠١٢ـ٢٠١٣ ومؤسسات ومديرا لمعهد اعداد القضاة بين عامي ٢٠١٣-٢٠٢٠ ورئيسا لتحرير مجلة قضاة الشام وعضوا مؤسسا ومديرا ورئيس مجلس أمناء جامعة المعالي الخاصة شمال شرق حلب.      https://legalknowledgehouse.taplink.ws #سوريا,,,Qarar Platform,General,MOJ,,,Justice,Courts and Judiciary,"[""#سوريا""]",published,2025-08-06 10:22:06,,,,
6354,,,,النشرة الرسمية: التاريخ 01 - 07 - 2025 #الجمهورية_العربية_السورية  #مصرف_سورية_المركزي,,,Qarar Platform,General,MOF,,,Economy,Banks and Financial,"[""#الجمهورية_العربية_السورية"", ""#مصرف_سورية_المركزي""]",published,2025-08-06 10:21:46,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006354_photo.jpg
6353,,,,تنويه هام إلى السادة أصحاب شركات استيراد السيارات  تُهيب مديرية الشؤون الجمركية بالسادة أصحاب الشركات الذين قاموا بشراء وشحن سيارات مستعملة إلى الجمهورية العربية السورية بضرورة الالتزام بما يلي:  - أولاً: مسح الباركود الإلكتروني المرفق بالإعلان، أو الضغط على الرابط المرفق أدناه وإتمام تعبئة الفورم الإلكتروني بدقة، مع التأكّد التام من صحة جميع البيانات المدخلة، وخاصة رقم الهيكل (الشاسيه) باعتباره المرجع الأساسي للمطابقة الجمركية.  - ثانياً: يُرجى التأكد من الضغط على زر الإرسال لمرة واحدة فقط لكل سيارة.  - ملاحظة هامة: اعتباراً من تاريخ نشر هذا التنويه، لن يُقبل أي طلب يُقدَّم ورقيّاً إلى ديوان مديرية الشؤون الجمركية، وسيُعتمد فقط على الطلبات المُرسَلة إلكترونيّاً عبر النموذج المعتمد.  رابط الفورم الإلكتروني: https://forms.gle/3FDUMeJivmQhU11q7  #الجمهورية_العربية_السورية #الهيئة_العامة_للمنافذ_البرية_والبحرية,,,Qarar Platform,General,MOI,,,Transportation,Land Transportation,"[""#الجمهورية_العربية_السورية"", ""#الهيئة_العامة_للمنافذ_البرية_والبحرية""]",published,2025-08-06 10:21:08,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006353_photo.jpg
6351,,,,"تعاون بين وزارة التربية والمنظمة الدولية للهجرة لتأمين تعليم اللاجئين السوريين العائدين  بحث وزير التربية والتعليم الدكتور ""محمد عبد الرحمن تركو"" اليوم مع وفد المنظمة الدولية للهجرة، الذي ضم كبير موظفي المنظمة ""محمد عبد يكير"" والمدير العام للشرق الأوسط وشمال أفريقيا ""عثمان بلبيسي""، سبل دعم عودة اللاجئين السوريين إلى وطنهم، بما في ذلك الطلاب السوريين.  وتناول الجانبان خلال اللقاء الذي عقد في مبنى الوزارة بدمشق الأعداد المتوقعة من اللاجئين العائدين وسبل التعامل معهم، بالإضافة إلى تأمين الاحتياجات الأساسية للطلاب السوريين لضمان استمرارهم في التعليم وتقديم أفضل الخدمات التعليمية لهم.  كما استعرض الجانبان التحديات التي تواجه قطاع التعليم في سوريا، وأولويات الوزارة، ووسائل التعاون المشتركة لخدمة هذا الملف.  وأشار وفد المنظمة إلى استعدادهم للتعاون مع وزارة التربية والتعليم والحكومة السورية لتقديم كافة الخدمات اللازمة للسوريين العائدين والطلاب المتسربين، منوهين بالجهود المبذولة من قبل الوزارة وخططها المعدة لتحقيق هذه الأهداف.  حضر اللقاء معاون وزير التربية والتعليم للشؤون التربوية ""يوسف عنان"".  #الجمهورية_العربية_السورية  #وزارة_التربية_والتعليم",,,Qarar Platform,General,MOE,,,Education,Basic Education,"[""#الجمهورية_العربية_السورية"", ""#وزارة_التربية_والتعليم""]",published,2025-08-06 10:19:09,,,,
6350,,,,*دليل إرشادي متكامل* يوضح نظام التمرين في فرع دمشق، يتضمن الضوابط الإدارية والعلمية المعتمدة، وآلية المتابعة والتقييم، بما يسهم في تعزيز الشفافية وتوحيد المعايير. #سوريا,,,Qarar Platform,Document,MOJ,,,Justice,Courts and Judiciary,"[""#سوريا""]",published,2025-08-06 10:18:31,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006350_photo.jpg
6349,,,,*دليل إرشادي متكامل* يوضح نظام التمرين في فرع دمشق، يتضمن الضوابط الإدارية والعلمية المعتمدة، وآلية المتابعة والتقييم، بما يسهم في تعزيز الشفافية وتوحيد المعايير. #سوريا,,,Qarar Platform,Document,MOJ,,,Justice,Courts and Judiciary,"[""#سوريا""]",published,2025-08-06 10:18:30,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006349_photo.jpg
6348,,,,#عاجل  البيت الأبيض: ترمب يوقع أمرا تنفيذيا لإنهاء العقوبات على #سوريا - مسؤولون أمريكيون: الحكومة السورية قطعت خطوات واسعة نحو تعزيز الاستقرار - مسؤولون أمريكيون كبار: الأمر التنفيذي بشأن #سوريا ينهي حالة الطوارئ بشأنها التي أعلن عنها لأول مرة عام 2004 - مسؤولون أمريكيون كبار: الأمر التنفيذي بشأن #سوريا يوجه باتخاذ إجراءات بشأن ضوابط التصدير وغيرها من القيود. - البيت الأبيض: الأمر التنفيذي بشأن #سوريا يدخل حيز التنفيذ غدا الثلاثاء -القائم بأعمال وكيل وزارة الخزانة الأمريكية: الأمر التنفيذي بشأن #سوريا سينهي عزلتها عن النظام المالي الدولي -     https://legalknowledgehouse.taplink.ws,,,Qarar Platform,General,MOI,,,Politics,Foreign Politics,"[""#عاجل"", ""#سوريا""]",published,2025-08-06 10:17:30,,,,
6347,,,,مجلس الأمن يمدد ولاية قوة الأمم المتحدة في الجولان السوري “أوندوف”  اعتمد مجلس الأمن الدولي اليوم، قراراً بالإجماع يقضي بتجديد ولاية قوة الأمم المتحدة لمراقبة فض الاشتباك في الجولان السوري المحتل “أوندوف” لمدة 6 أشهر.  - ذكر موقع أخبار الأمم المتحدة أن أعضاء المجلس الـ15، صوتوا في اجتماع عُقِد اليوم، لصالح قرار التمديد لقوة الأندوف والذي يحمل الرقم 2782.  - يذكر أن قوة أندوف أنشئت في الـ31 من أيار 1974، ومنذ ذلك الوقت، استمرت القوات بعملها في المنطقة للإشراف على تنفيذ اتفاق فض الاشتباك.  https://legalknowledgehouse.taplink.ws #سوريا,,,Qarar Platform,General,MOFA,,,Politics,Foreign Politics,"[""#سوريا""]",published,2025-08-06 10:17:30,,,,
6346,,,,وزارة الصحة تعلن بالتعاون مع الجمعية الطبية السورية الأمريكية (SAMS) عن تنظيم بعثة طبية تطوعية متعددة التخصصات بمشاركة نخبة من الأطباء القادمين من الولايات المتحدة الأمريكية وأوروبا وستقوم البعثة بتقديم خدمات طبية مجانية تشمل العيادات التخصصية والعمليات الجراحية وفق الإمكانيات المتاحة وذلك من 29 حزيران ولغاية 10 تموز 2025 #سوريا,,,Qarar Platform,Announcement,MOH,,,Health,Healthcare,"[""#سوريا""]",published,2025-08-06 10:17:09,,,,https://qararprod.s3.me-central-1.amazonaws.com/media/post_attachments/2025/08/06/00006346_photo.jpg
6345,,,,أصدرت وزارة التنمية الإدارية قراراً بتشكيل لجنة الصياغة النهائية لمشروع قانون الخدمة المدنية، ليحل محل القانون الأساسي للعاملين في الدولة رقم 50 لعام 2004، في خطوة مفصلية تعكس جدية الدولة في تحديث بيئة العمل الحكومي وترسيخ مبادئ الكفاءة والشفافية.  - تضم اللجنة في عضويتها نخبة من ممثلي الوزارات المعنية وخبراء متخصصين في الموارد البشرية والتشريعات الإدارية، حيث أوكل إليها مراجعة المسودة الأولية التي أعدتها فرق العمل الفنية في الوزارة خلال الأشهر السابقة، وصياغة النسخة النهائية من مشروع القانون خلال مدة خمسة وأربعين يوماً.  - يهدف المشروع إلى بلورة قانون عصري يعزز مبادئ الجدارة وتكافؤ الفرص، ويواكب متطلبات التحول المؤسسي الشامل، بما ينسجم مع تطلعات الدولة لبناء إدارة عامة رشيدة وكفوءة.  - من المقرر أن تُعقد الجلسة الأولى للجنة خلال الأسبوع الجاري لتعلن انطلاق مرحلة دقيقة من العمل التشريعي الوطني، ترتكز على المهنية والتشاركية والتنسيق المؤسسي والمصلحة العامة.       https://legalknowledgehouse.taplink.ws #سوريا,,,Qarar Platform,Decision,MOI,,,Politics,Government Decisions,"[""#سوريا""]",published,2025-08-06 10:16:32,,,,
